subsys,idx,packed,xnu_genter_site_va,known_name
0x0,0x0,0x0,0xfffffe000c065d00,
0x0,0x1,0x1,0xfffffe000c066794,_sptm_retype
0x0,0x2,0x2,0xfffffe000c0667bc,
0x0,0x3,0x3,0xfffffe000c0667e4,
0x0,0x4,0x4,0xfffffe000c06680c,
0x0,0x5,0x5,0xfffffe000c066834,
0x0,0x6,0x6,0xfffffe000c06685c,
0x0,0x7,0x7,0xfffffe000c066884,
0x0,0x8,0x8,0xfffffe000c0668ac,
0x0,0x9,0x9,0xfffffe000c0668d4,
0x0,0xa,0xa,0xfffffe000c066924,
0x0,0xb,0xb,0xfffffe000c06694c,
0x0,0xc,0xc,0xfffffe000c066974,
0x0,0xd,0xd,0xfffffe000c06699c,
0x0,0xe,0xe,0xfffffe000c0669c4,
0x0,0xf,0xf,0xfffffe000c066a14,
0x0,0x10,0x10,0xfffffe000c066b54,
0x0,0x11,0x11,0xfffffe000c066b7c,
0x0,0x12,0x12,0xfffffe000c066ba4,
0x0,0x13,0x13,0xfffffe000c066bcc,
0x0,0x14,0x14,0xfffffe000c0669ec,
0x0,0x15,0x15,0xfffffe000c066bf4,
0x0,0x16,0x16,0xfffffe000c066c94,
0x0,0x17,0x17,0xfffffe000c066cbc,
0x0,0x18,0x18,0xfffffe000c067cdc,
0x0,0x19,0x19,0xfffffe000c067cec,
0x0,0x1a,0x1a,0xfffffe000c067cfc,
0x0,0x1b,0x1b,0xfffffe000c067d1c,
0x0,0x1c,0x1c,0xfffffe000c067d0c,
0x0,0x1d,0x1d,0xfffffe000c066dac,
0x0,0x1e,0x1e,0xfffffe000c066dd4,
0x0,0x1f,0x1f,0xfffffe000c066dfc,
0x0,0x20,0x20,0xfffffe000c066e24,
0x0,0x21,0x21,0xfffffe000c066c1c,
0x0,0x22,0x22,0xfffffe000c067f74,
0x0,0x23,0x23,0xfffffe000c066c44,
0x0,0x24,0x24,0xfffffe000c066c6c,
0x0,0x25,0x25,0xfffffe000c066d0c,
0x0,0x26,0x26,0xfffffe000c066a3c,
0x0,0x27,0x27,0xfffffe000c0668fc,
0x0,0x28,0x28,0xfffffe000c066d34,
0x0,0x29,0x29,0xfffffe000c066a64,
0x0,0x2a,0x2a,0xfffffe000c066a8c,
0x0,0x2b,0x2b,0xfffffe000c066d5c,
0x0,0x2c,0x2c,0xfffffe000c066d84,
0x0,0x2d,0x2d,0xfffffe000c066ab4,
0x0,0x2e,0x2e,0xfffffe000c066adc,
0x0,0x2f,0x2f,0xfffffe000c066b2c,
0x0,0x30,0x30,0xfffffe000c066b04,
0x0,0x31,0x31,0xfffffe000c066ce4,
0x3,0x0,0x300000000,0xfffffe000c0670e4,
0x3,0x1,0x300000001,0xfffffe000c067110,
0x3,0x2,0x300000002,0xfffffe000c06713c,
0x3,0x3,0x300000003,0xfffffe000c067168,
0x3,0x4,0x300000004,0xfffffe000c067194,
0x3,0x5,0x300000005,0xfffffe000c0671c0,
0x3,0x6,0x300000006,0xfffffe000c0671ec,
0x3,0x7,0x300000007,0xfffffe000c067218,
0x3,0x8,0x300000008,0xfffffe000c067244,
