subsys,idx,xnu_stub_addr,xnu_genter_addr
0x0,0x0,0xfffffe000c066758,0xfffffe000c06676c
0x0,0x1,0xfffffe000c066780,0xfffffe000c066794
0x0,0x2,0xfffffe000c0667a8,0xfffffe000c0667bc
0x0,0x3,0xfffffe000c0667d0,0xfffffe000c0667e4
0x0,0x4,0xfffffe000c0667f8,0xfffffe000c06680c
0x0,0x5,0xfffffe000c066820,0xfffffe000c066834
0x0,0x6,0xfffffe000c066848,0xfffffe000c06685c
0x0,0x7,0xfffffe000c066870,0xfffffe000c066884
0x0,0x8,0xfffffe000c066898,0xfffffe000c0668ac
0x0,0x9,0xfffffe000c0668c0,0xfffffe000c0668d4
0x0,0x27,0xfffffe000c0668e8,0xfffffe000c0668fc
0x0,0xa,0xfffffe000c066910,0xfffffe000c066924
0x0,0xb,0xfffffe000c066938,0xfffffe000c06694c
0x0,0xc,0xfffffe000c066960,0xfffffe000c066974
0x0,0xd,0xfffffe000c066988,0xfffffe000c06699c
0x0,0xe,0xfffffe000c0669b0,0xfffffe000c0669c4
0x0,0x14,0xfffffe000c0669d8,0xfffffe000c0669ec
0x0,0xf,0xfffffe000c066a00,0xfffffe000c066a14
0x0,0x26,0xfffffe000c066a28,0xfffffe000c066a3c
0x0,0x29,0xfffffe000c066a50,0xfffffe000c066a64
0x0,0x2a,0xfffffe000c066a78,0xfffffe000c066a8c
0x0,0x2d,0xfffffe000c066aa0,0xfffffe000c066ab4
0x0,0x2e,0xfffffe000c066ac8,0xfffffe000c066adc
0x0,0x30,0xfffffe000c066af0,0xfffffe000c066b04
0x0,0x2f,0xfffffe000c066b18,0xfffffe000c066b2c
0x0,0x10,0xfffffe000c066b40,0xfffffe000c066b54
0x0,0x11,0xfffffe000c066b68,0xfffffe000c066b7c
0x0,0x12,0xfffffe000c066b90,0xfffffe000c066ba4
0x0,0x13,0xfffffe000c066bb8,0xfffffe000c066bcc
0x0,0x15,0xfffffe000c066be0,0xfffffe000c066bf4
0x0,0x21,0xfffffe000c066c08,0xfffffe000c066c1c
0x0,0x23,0xfffffe000c066c30,0xfffffe000c066c44
0x0,0x24,0xfffffe000c066c58,0xfffffe000c066c6c
0x0,0x16,0xfffffe000c066c80,0xfffffe000c066c94
0x0,0x17,0xfffffe000c066ca8,0xfffffe000c066cbc
0x0,0x31,0xfffffe000c066cd0,0xfffffe000c066ce4
0x0,0x25,0xfffffe000c066cf8,0xfffffe000c066d0c
0x0,0x28,0xfffffe000c066d20,0xfffffe000c066d34
0x0,0x2b,0xfffffe000c066d48,0xfffffe000c066d5c
0x0,0x2c,0xfffffe000c066d70,0xfffffe000c066d84
0x0,0x1d,0xfffffe000c066d98,0xfffffe000c066dac
0x0,0x1e,0xfffffe000c066dc0,0xfffffe000c066dd4
0x0,0x1f,0xfffffe000c066de8,0xfffffe000c066dfc
0x0,0x20,0xfffffe000c066e10,0xfffffe000c066e24
0x0,0x18,0xfffffe000c067cc8,0xfffffe000c067cdc
0x0,0x19,0xfffffe000c067cd8,0xfffffe000c067cec
0x0,0x1a,0xfffffe000c067ce8,0xfffffe000c067cfc
0x0,0x1c,0xfffffe000c067cf8,0xfffffe000c067d0c
0x0,0x1b,0xfffffe000c067d08,0xfffffe000c067d1c
0x0,0x22,0xfffffe000c067f60,0xfffffe000c067f74
0x0,0xf,0xfffffe000c09c074,0xfffffe000c09c088
